iter	Passed	Remaining
391	771	1196
392	772	1193
393	773	1190
394	775	1187
395	776	1184
396	777	1180
397	778	1177
398	779	1174
399	780	1171
400	782	1168
401	783	1165
402	784	1162
403	785	1159
404	787	1157
405	789	1154
406	790	1152
407	792	1149
408	793	1147
409	795	1145
410	797	1142
411	798	1139
412	800	1137
413	801	1133
414	802	1130
415	803	1128
416	804	1125
417	807	1123
418	809	1121
419	811	1120
420	813	1118
421	815	1116
422	817	1114
423	818	1112
424	820	1109
425	821	1107
426	822	1104
427	825	1102
428	827	1101
429	829	1099
430	831	1097
431	833	1095
432	835	1093
433	837	1092
434	839	1090
435	841	1088
436	843	1086
437	845	1084
438	846	1082
439	848	1079
440	850	1077
441	851	1075
442	853	1073
443	855	1071
444	857	1069
445	858	1066
446	860	1064
447	862	1062
448	864	1060
449	866	1058
450	868	1056
451	870	1054
452	871	1052
453	873	1051
454	875	1048
455	877	1047
456	879	1045
457	881	1043
458	883	1041
459	885	1039
460	887	1038
461	890	1036
462	892	1034
463	894	1033
464	896	1031
465	899	1030
466	901	1028
467	903	1026
468	905	1024
469	906	1022
470	908	1020
471	910	1018
472	912	1016
473	914	1014
474	916	1012
475	918	1011
476	920	1009
477	922	1007
478	924	1005
479	926	1003
480	927	1001
481	929	998
482	931	996
483	933	994
484	934	992
485	936	990
486	938	988
487	940	986
488	942	984
489	944	982
490	946	980
491	948	979
492	950	977
493	953	976
494	955	974
495	957	972
496	959	971
497	961	969
498	964	968
499	966	966
500	969	965
501	971	963
502	973	962
503	975	960
504	978	959
505	981	958
506	983	956
507	986	955
508	988	953
509	991	952
510	994	952
511	997	950
512	1000	949
513	1002	948
514	1004	946
515	1007	945
516	1010	943
517	1012	941
518	1014	940
519	1016	938
520	1019	937
521	1021	935
522	1023	933
523	1025	931
524	1028	930
525	1030	928
526	1032	926
527	1034	924
528	1036	922
529	1038	921
530	1041	919
531	1043	917
532	1045	916
533	1047	914
534	1049	912
535	1052	911
536	1054	909
537	1056	907
538	1058	905
539	1060	903
540	1062	901
541	1064	899
542	1066	897
543	1068	895
544	1070	894
545	1073	892
546	1074	890
547	1077	888
548	1079	886
549	1082	885
550	1085	884
551	1087	882
552	1089	880
553	1091	878
554	1093	876
555	1095	875
556	1097	873
557	1099	871
558	1102	869
559	1104	867
560	1105	865
561	1107	863
562	1109	861
563	1111	859
564	1113	857
565	1115	855
566	1116	852
567	1118	850
568	1120	848
569	1122	846
570	1123	844
571	1126	842
572	1128	840
573	1130	838
574	1132	836
575	1134	834
576	1135	832
577	1137	830
578	1138	827
579	1140	825
580	1142	823
581	1143	821
582	1145	819
583	1147	817
584	1148	814
585	1149	812
586	1151	810
587	1152	807
588	1153	805
589	1155	802
590	1157	800
591	1158	798
592	1159	796
593	1161	793
594	1162	791
595	1163	788
596	1164	786
597	1166	783
598	1167	781
599	1168	779
600	1170	776
601	1171	774
602	1173	772
603	1174	770
604	1176	767
605	1177	765
606	1178	763
607	1179	760
608	1181	758
609	1182	755
610	1183	753
611	1184	751
612	1186	748
613	1187	746
614	1189	744
615	1190	742
616	1191	739
617	1192	737
618	1194	734
619	1195	732
620	1196	730
621	1197	727
622	1198	725
623	1200	723
624	1201	720
625	1203	718
626	1204	716
627	1205	713
628	1206	711
629	1207	709
630	1208	706
631	1209	704
632	1210	701
633	1211	699
634	1213	697
635	1214	694
636	1215	692
637	1216	690
638	1218	688
639	1220	686
640	1221	684
641	1223	682
642	1224	679
643	1225	677
644	1227	675
645	1228	673
646	1229	670
647	1230	668
648	1232	666
649	1233	664
650	1234	661
651	1235	659
652	1236	657
653	1237	654
654	1239	652
655	1240	650
656	1241	648
657	1242	645
658	1244	643
659	1245	641
660	1246	639
661	1248	637
662	1249	634
663	1250	632
664	1251	630
665	1252	628
666	1254	626
667	1255	623
668	1256	621
669	1258	619
670	1259	617
671	1261	615
672	1262	613
673	1264	611
674	1265	609
675	1266	606
676	1267	604
677	1268	602
678	1269	600
679	1270	598
680	1272	595
681	1273	593
682	1274	591
683	1276	589
684	1277	587
685	1278	585
686	1279	583
687	1280	580
688	1282	578
689	1283	576
690	1284	574
691	1286	572
692	1287	570
693	1289	568
694	1291	566
695	1293	565
696	1295	563
697	1297	561
698	1299	559
699	1300	557
700	1302	555
701	1303	553
702	1305	551
703	1307	549
704	1309	548
705	1311	546
706	1313	544
707	1315	542
708	1317	540
709	1318	538
710	1321	536
711	1323	535
712	1325	533
713	1327	531
714	1330	530
715	1332	528
716	1334	526
717	1337	525
718	1339	523
719	1341	521
720	1344	520
721	1346	518
722	1348	516
723	1351	515
724	1353	513
725	1356	511
726	1358	510
727	1361	508
728	1363	506
729	1365	505
730	1367	503
731	1370	501
732	1372	499
733	1374	498
734	1377	496
735	1379	494
736	1381	493
737	1384	491
738	1386	489
739	1388	487
740	1390	486
741	1392	484
742	1395	482
743	1397	480
744	1399	479
745	1401	477
746	1403	475
747	1405	473
748	1407	471
749	1409	469
750	1411	468
751	1414	466
752	1415	464
753	1417	462
754	1419	460
755	1422	458
756	1424	457
757	1426	455
758	1428	453
759	1430	451
760	1432	449
761	1434	448
762	1437	446
763	1439	444
764	1441	442
765	1443	440
766	1445	439
767	1447	437
768	1449	435
769	1451	433
770	1452	431
771	1455	429
772	1456	427
773	1458	425
774	1460	424
775	1462	422
776	1464	420
777	1466	418
778	1467	416
779	1469	414
780	1471	412
781	1473	410
782	1475	409
783	1478	407
784	1480	405
785	1482	403
786	1484	401
787	1486	399
788	1488	398
789	1490	396
790	1493	394
791	1495	392
792	1497	390
793	1499	389
794	1502	387
795	1503	385
796	1505	383
797	1507	381
798	1509	379
799	1512	378
800	1514	376
801	1516	374
802	1518	372
803	1520	370
804	1523	368
805	1525	367
806	1527	365
807	1530	363
808	1532	361
809	1534	359
810	1536	358
811	1538	356
812	1540	354
813	1542	352
814	1545	350
815	1547	349
816	1550	347
817	1551	345
818	1553	343
819	1556	341
820	1558	339
821	1560	337
822	1562	336
823	1565	334
824	1567	332
825	1570	330
826	1572	328
827	1574	327
828	1577	325
829	1579	323
830	1581	321
831	1584	319
832	1586	318
833	1590	316
834	1593	314
835	1596	313
836	1598	311
837	1601	309
838	1603	307
839	1606	305
840	1609	304
841	1612	302
842	1614	300
843	1616	298
844	1619	297
845	1622	295
846	1625	293
847	1628	291
848	1630	290
849	1633	288
850	1636	286
851	1639	284
852	1641	282
853	1644	281
854	1647	279
855	1649	277
856	1652	275
857	1654	273
858	1657	272
859	1659	270
860	1663	268
861	1666	266
862	1668	264
863	1671	263
864	1674	261
865	1677	259
866	1679	257
867	1682	255
868	1685	254
869	1687	252
870	1690	250
871	1692	248
872	1695	246
873	1697	244
874	1700	242
875	1702	240
876	1704	239
877	1707	237
878	1709	235
879	1711	233
880	1714	231
881	1717	229
882	1719	227
883	1721	225
884	1724	224
885	1726	222
886	1729	220
887	1731	218
888	1734	216
889	1736	214
890	1739	212
891	1741	210
892	1744	208
893	1746	207
894	1749	205
895	1751	203
896	1754	201
897	1757	199
898	1759	197
899	1762	195
900	1764	193
901	1767	192
902	1769	190
903	1772	188
904	1774	186
905	1776	184
906	1779	182
907	1781	180
908	1784	178
909	1786	176
910	1789	174
911	1791	172
912	1793	170
913	1795	168
914	1798	167
915	1800	165
916	1803	163
917	1805	161
918	1808	159
919	1810	157
920	1814	155
921	1816	153
922	1819	151
923	1822	149
924	1824	147
925	1827	146
926	1829	144
927	1831	142
928	1834	140
929	1836	138
930	1839	136
931	1841	134
932	1844	132
933	1846	130
934	1848	128
935	1850	126
936	1853	124
937	1855	122
938	1858	120
939	1861	118
940	1863	116
941	1866	114
942	1869	113
943	1872	111
944	1875	109
945	1877	107
946	1880	105
947	1882	103
948	1884	101
949	1887	99
950	1889	97
951	1891	95
952	1893	93
953	1894	91
954	1896	89
955	1898	87
956	1900	85
957	1902	83
958	1904	81
959	1906	79
960	1908	77
961	1910	75
962	1911	73
963	1913	71
964	1915	69
965	1917	67
966	1919	65
967	1920	63
968	1923	61
969	1925	59
970	1927	57
971	1929	55
972	1930	53
973	1932	51
974	1934	49
975	1937	47
976	1939	45
977	1941	43
978	1943	41
979	1945	39
980	1948	37
981	1950	35
982	1952	33
983	1954	31
984	1956	29
985	1958	27
986	1961	25
987	1963	23
988	1965	21
989	1967	19
990	1969	17
991	1971	15
992	1973	13
993	1975	11
994	1977	9
995	1979	7
996	1981	5
997	1983	3
998	1986	1
999	1988	0
